G,2046,357456.000000,-2408695.8323,4698107.8215,3566699.7973,5,6,5.0056,7.4084,8.7523
I,2046,357456.005755,0.000043,0.000326,-0.000109,0.054474,0.082703,9.774017
I,2046,357456.015755,0.000033,0.000315,-0.000043,0.052032,0.075378,9.778595
I,2046,357456.025755,0.000022,0.000315,0.000000,0.048218,0.069580,9.762878
I,2046,357456.035755,0.000043,0.000304,0.000000,0.055084,0.063019,9.753418
I,2046,357456.045755,0.000065,0.000282,-0.000054,0.069275,0.069885,9.774017
I,2046,357456.055755,0.000054,0.000347,0.000011,0.054779,0.068054,9.793854
I,2046,357456.065755,0.000087,0.000260,0.000011,0.059662,0.063477,9.783936
I,2046,357456.075755,0.000065,0.000195,0.000033,0.030823,0.054779,9.785614
I,2046,357456.085755,0.000022,0.000174,-0.000033,0.053711,0.072327,9.777679
I,2046,357456.095755,0.000098,0.000260,-0.000022,0.044098,0.068817,9.765778
I,2046,357456.105755,0.000011,0.000304,-0.000033,0.052032,0.057983,9.771118
I,2046,357456.115755,0.000043,0.000184,-0.000054,0.048065,0.064545,9.772186
I,2046,357456.125755,0.000033,0.000315,-0.000054,0.030365,0.076599,9.776764
I,2046,357456.135755,0.000033,0.000315,-0.000022,0.051880,0.077209,9.773865
I,2046,357456.145755,0.000000,0.000336,-0.000054,0.043640,0.075531,9.778137
I,2046,357456.155755,0.000000,0.000358,0.000011,0.041046,0.058899,9.782104
I,2046,357456.165755,0.000065,0.000369,0.000000,0.044708,0.071259,9.788971
I,2046,357456.175755,0.000076,0.000380,-0.000011,0.058746,0.077515,9.778442
I,2046,357456.185755,0.000043,0.000293,-0.000054,0.062866,0.075684,9.770966
I,2046,357456.195755,0.000043,0.000206,-0.000043,0.057220,0.077667,9.778290
I,2046,357456.205755,-0.000022,0.000250,-0.000043,0.044098,0.072632,9.787903
I,2046,357456.215755,0.000065,0.000271,-0.000054,0.055542,0.070953,9.778442
I,2046,357456.225755,0.000000,0.000282,0.000000,0.055695,0.060883,9.771118
I,2046,357456.235755,0.000011,0.000326,0.000011,0.056305,0.066528,9.784393
I,2046,357456.245755,0.000065,0.000260,0.000022,0.047760,0.065613,9.781189
I,2046,357456.255755,0.000022,0.000250,-0.000033,0.056915,0.056152,9.788666
I,2046,357456.265755,0.000000,0.000250,0.000043,0.040436,0.070343,9.773865
I,2046,357456.275755,0.000033,0.000326,0.000000,0.052185,0.074310,9.779510
I,2046,357456.285755,0.000109,0.000293,-0.000119,0.057068,0.067444,9.766693
I,2046,357456.295755,0.000022,0.000304,-0.000065,0.051117,0.075531,9.787140
I,2046,357456.305755,0.000043,0.000250,0.000011,0.049591,0.075073,9.765930
I,2046,357456.315755,0.000065,0.000271,-0.000054,0.058746,0.070190,9.769745
I,2046,357456.325755,0.000141,0.000250,-0.000054,0.050049,0.074768,9.769592
I,2046,357456.335755,0.000130,0.000239,-0.000022,0.049133,0.073853,9.779358
I,2046,357456.345755,0.000011,0.000326,-0.000054,0.058899,0.069275,9.779205
I,2046,357456.355755,0.000054,0.000391,-0.000098,0.055389,0.074921,9.786530
I,2046,357456.365755,0.000011,0.000250,0.000011,0.055542,0.068512,9.773712
I,2046,357456.375755,0.000011,0.000315,-0.000098,0.038147,0.065308,9.770203
I,2046,357456.385755,-0.000033,0.000391,-0.000043,0.046234,0.065613,9.781036
I,2046,357456.395755,0.000022,0.000347,0.000065,0.042725,0.072784,9.770660
I,2046,357456.405755,0.000054,0.000315,0.000000,0.052185,0.060272,9.795227
I,2046,357456.415755,0.000065,0.000282,0.000119,0.052185,0.054779,9.766083
I,2046,357456.425755,0.000022,0.000217,0.000000,0.045776,0.064087,9.780121
I,2046,357456.435755,0.000022,0.000293,0.000011,0.039215,0.067902,9.777832
I,2046,357456.445755,0.000000,0.000271,-0.000011,0.057068,0.079041,9.773712
I,2046,357456.455755,0.000033,0.000228,-0.000054,0.052032,0.069580,9.769897
I,2046,357456.465755,-0.000065,0.000260,-0.000033,0.038605,0.073090,9.765167
I,2046,357456.475755,-0.000011,0.000293,-0.000119,0.043335,0.074463,9.783173
I,2046,357456.485755,0.000119,0.000217,-0.000043,0.038147,0.068817,9.756927
I,2046,357456.495755,-0.000022,0.000282,0.000000,0.040894,0.065765,9.790039
I,2046,357456.505755,0.000065,0.000293,0.000000,0.051575,0.060577,9.767914
I,2046,357456.515755,-0.000022,0.000293,-0.000054,0.044708,0.062256,9.778595
I,2046,357456.525755,0.000022,0.000174,0.000000,0.064087,0.062103,9.767609
I,2046,357456.535755,0.000000,0.000217,0.000000,0.048065,0.064240,9.775848
I,2046,357456.545755,0.000098,0.000195,0.000011,0.061188,0.071564,9.790955
I,2046,357456.555755,0.000022,0.000228,-0.000022,0.046997,0.069885,9.775238
I,2046,357456.565755,0.000076,0.000271,0.000000,0.049286,0.059509,9.783173
I,2046,357456.575755,0.000087,0.000228,-0.000011,0.047760,0.074005,9.765015
I,2046,357456.585755,0.000054,0.000228,0.000011,0.052338,0.077362,9.778137
I,2046,357456.595755,0.000065,0.000315,0.000087,0.048370,0.080566,9.773254
I,2046,357456.605755,0.000087,0.000282,-0.000043,0.048523,0.068817,9.775848
I,2046,357456.615755,-0.000043,0.000293,-0.000087,0.056000,0.072174,9.777527
I,2046,357456.625755,0.000065,0.000401,-0.000033,0.045776,0.068665,9.788971
I,2046,357456.635755,0.000000,0.000315,-0.000109,0.050354,0.070190,9.777679
I,2046,357456.645755,0.000022,0.000326,-0.000119,0.054626,0.077820,9.793243
I,2046,357456.655755,0.000033,0.000304,-0.000098,0.043640,0.065765,9.770966
I,2046,357456.665755,0.000033,0.000336,-0.000043,0.061188,0.076904,9.776154
I,2046,357456.675755,0.000033,0.000315,-0.000054,0.055542,0.054474,9.775391
I,2046,357456.685755,0.000076,0.000304,-0.000130,0.044098,0.060730,9.787292
I,2046,357456.695755,0.000022,0.000326,-0.000033,0.047913,0.063171,9.773865
I,2046,357456.705755,0.000130,0.000336,-0.000076,0.052032,0.053558,9.777527
I,2046,357456.715755,0.000022,0.000369,0.000033,0.034332,0.071716,9.771729
I,2046,357456.725755,0.000000,0.000347,-0.000011,0.050659,0.072174,9.764709
I,2046,357456.735755,0.000076,0.000336,-0.000022,0.038910,0.077972,9.776917
I,2046,357456.745755,0.000011,0.000358,-0.000022,0.036469,0.061951,9.766235
I,2046,357456.755755,0.000087,0.000271,0.000000,0.046387,0.071716,9.776154
I,2046,357456.765755,0.000087,0.000293,0.000000,0.049286,0.065155,9.775696
I,2046,357456.775755,0.000000,0.000293,-0.000011,0.049591,0.072327,9.763184
I,2046,357456.785755,0.000033,0.000260,0.000065,0.035400,0.068970,9.773254
